id_code,current_date,current_time,source_name,destination_name,train_name,target,country_code_source,longitude_source,latitude_source,mean_halt_times_source,country_code_destination,longitude_destination,latitude_destination,mean_halt_times_destination,current_year,current_week,current_day,is_weekend,source_num,destination_num,current_decimal_time,source_address,destination_address
isfywypmkqqhyft,2016-07-27,08:05:51 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.05,Brussels,
mqsfxyvuqpbwomk,2016-07-27,08:06:11 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.06,Brussels,
alspwwtbdvqsgby,2016-07-27,08:08:57 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.08,Brussels,
szitxhhqduyrqpg,2016-07-27,08:09:08 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.09,Brussels,
krisdqzczivvwcp,2016-07-27,08:11:01 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.11,Brussels,
orrnrrynwpmcxmm,2016-07-27,08:11:50 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.11,Brussels,
raoheuoxqijqxcz,2016-07-27,08:12:47 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.12,Brussels,
huhiqfxnerbedmq,2016-07-27,08:13:23 PM,station$147,station$1,ICZVZS,high,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.13,Brussels,
igqcnhdcmejjkah,2016-07-27,08:15:38 PM,station$147,station$1,ICZVZS,medium,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.15,Brussels,
taxcjmdnymvsvva,2016-07-27,08:16:51 PM,station$147,station$1,ICZVZS,medium,whber,4.356801,50.845658,634.1647398844,,,,,2016,30,Wednesday,False,147,1,20.16,Brussels,
